Common name;Species name;pathtofile;Site;lat;lng;Country;Study period;Study effort;Objective;Data sources;Effort;Analytical method;Reference;Link to paper
Chinese francolin;Francolinus pintadeanus;Francolinus_pintadeanus_148_BL;Yok Don National Park;12.80375719;107.6706547;Vietnam;2013;1 month;density estimate;line transects;15 transects, 2 km long, walked 10 time/transect;Distace;Sukumal et al 2016 Gallinformed;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Ngoc Linh Nature Reserve;15.312055;107.536463;Vietnam;2016;2 months;species record;automatic recordings;11 sites;sound analysis (RAVEN) software;Thinh et al 2017 Journal of Forestry Science and Technology 5: 101-107;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Pu Mat National Park;18.59;104.4;Vietnam;2010-2011;;species record;point count;18 listening posts designed for gibbon survey;;Bach & Rawson 2011 Report;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Taman Nagara National Park;4.42;102.28;Malaysia;1984 to 1992;;species record;random detections;;;Mamat & Yasak 1999 Bird Conservation International 9: 325-330;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Thua Thien Hue Saola Reserve - Quang Nam Saola Reserve - Bach Ma National Park Extension ;16.4674;107.59;Vietnam;2012;6 months;occupancy;auditory survey;30 rancdomly selected survey plots (10 per area) of 2x2xkm;Bayesian occipancy;Gray et al 2014. Biodiversity and Conservation 23: 1541–1550: ;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Thuong Da Nhim Nature Reserves - Chu Yang Sin Nature Reserves ;12.3;108.17;Vietnam;1993-1994;3 months;species record;geeral bird survey;randomly walk around the area;;Eames 1995 Bird Conservation International 5: 491-523;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Vietnam range;17.122312;107.021919;Vietnam;1993-1994;12 months;species record;general bird survey;;;Dymind 1998 Forktail 13: 7-12;
Crested argus;Rheinardia ocellata;Rheinardia_ocellata_282_BL;Xe Sap National Biodiversity Conservation Area ;15.57;106.42;Laos;1996;1 month;specie record;random survey;;;Timmins & Vongkhamheng 1996 Report;
Crested partridge;Rollulus rouloul;Rollulus_rouloul_228_BL;;;;;;;;;;;;
Crimson headed partridge;Haematortyx sanguiniceps;Haematortyx_sanguiniceps_227_BL;;;;;;;;;;;;
Edward's pheasant;Lophura edwardsi;Lophura_edwardsi_253_BL;Species range;;;Vietnam;2017;;probability of persistence;;;;Grainger et al 2019 Oryx 53: 484-490;
Edward's pheasant;Lophura edwardsi;Lophura_edwardsi_253_BL;Annamese Lowlands Endemic Bird Area ;17.121999;106.63653;Vietnam;1994;2 months;species record;;;;Eames et al 1994 Bird Conservation International 4: 343-382;
Ferruginous partridge;Caloperdix oculeus;Caloperdix_oculeus_226_BL;;;;;;;;;;;;
Germain's peacock pheasant;Polyplectron germaini;Polyplectron_germaini_277_BL;Cat Tien National Park ;11.3;107.2;Vietnam;2014;4 months;density estimate - habitat selection - population estimate over 4 PAs;line transects;21 transects, 2 km long, in four habitat types, each walked six times;Distance;Nguyen et al 2018 Bird Conservation International 28: 423-438;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bala National Park;5.930951;101.365162;Thailand;2014;;density estimate - habitat use - population dynamic over 12 years;point survey;29 points;N-mixture model;Dawrueng 2017 Bird Conservation International 27: 282-293;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bala National Park;5.930951;101.365162;Thailand;2004;;density and dispersion estimate;lookout watches;14 locations on 13.1 km road, 620 1hour sampling;;Kemp et al 2011 Bird Conservation International 21: 394–410;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bala National Park;5.930951;101.365162;Thailand;2006-2007;;species record;camera trap;15 camera traps, 11,106 trap-days;;Kitamura et al 2010 Raffles bulletin of Zoology 58: 145:156;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bukit Barisan Selatan National Park ;-5.26;104.2;Sumatra;1995;;species record;trail survey;;;O'Brien & Kinnaird 1996 Oryx 30: 207-217;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bukit Barisan Selatan National Park ;-5.26;104.2;Sumatra;1998-1999;;density estimate;transect survey;18 transects, total 38km, walked 3 times/month for 19 months;Distance;O’Brien et al 2003 Animal Conservation 6: 131–139;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Bukit Barisan Selatan National Park ;-5.26;104.2;Sumatra;1998 to 2001;;Abundance - movement patterns;telemetry - camera trap - transects survey;radiotelemetry (7 males tracked for 3 months), habitat sampling (240 circular plots 5m radius), occupancy analysis on camera trapping (38 camera traps over the area, for 30 days/period for 5 periods), and density estimated using Distance on line-transect surveys (18 transects walked monthly, 34.8 km/month);;Winari et al 2009 the Auk 126: 341-350;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Kayan Metarang National Park;3.12;115.3;Kalimantan;1996;;A) abundance estimate - B) habitat selection;line transects;A) 6 transects from 2.5 to 4.9 km length - B) habitat monitored every 150m along transects;counting the number of vocalizing males;Nijman 1998 Journal of Ornithology 139: 313-323;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;Taratak Forest Reserve;0.5897;101.3431;Sumatra;2005;;species record;camera trap;;;Novarino 2005 Report;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;West Malaysia;4.375988;101.771505;Malaysia;1975 to 1978;;Calling and mating behaviour;;;;Davison 1981 Ibis 123: 485–494;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;West Malaysia;4.375988;101.771505;Malaysia;1975 to 1977;;Sexual selection and mating system;;;;Davison 1981 Biological Journal of the Linnean Society 15: 91–104;
Great argus;Argusianus argus;Argusianus_argus_112638_BL;West Malaysia;4.375988;101.771505;Malaysia;1975-1978;;breeding ecology;;;;Davison 1982 Z. Tierpsychol 58: 185–202;
Green junglefowl;Gallus varius;Gallus_varius_249_BL;;;;;;;;;;;;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Alas Purwo National Park;-8.2339;114.3517;Java;2004;;Species distribution;Transect survey ;2 transects 1 and 5 km long;unspecified on count data;Hernawo & Wasano 2006 Media Konservasi 11: 83-88;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Attapu and Savannakhet Provinces ;16.54;105.78;Laos;2005;;records in both sites;General survey;;;Bezuijen 2006 Forktail 22: 49-56;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Baluran National Park;-7.5;114.22;Java;1994-1995;;Green peafowl habitat use;;;;Hernowo 1999 Media Konservasi 6: 15-22;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Baluran National Park - Alas Purwo National Park;-7.5;114.22;Java;2006-2007;;species distribution and change over 10 years;Transect survey ;;call count transect method and concentration count;Hernowo et al 2011 Biodiversitas 12: 99-106;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Baluran National Park and Alas Purwo National Park;-7.5;114.22;Java;2006-2007;;Species habitat adaptation;Ad libitum sampling;;;Hernowo et al 2011 Journal of Biosciences 18: 164-176;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Cat Tien National Park - Yok Don National Park;12;107;Vietnam;2012-2013;2 months;density estimate - population change over 15 years - threat assessment;transect and point count survey;2 transects 2km long and 3 point count (CT) and 15 transects 2km long (YD) - each transect and point surveyed 10 times;Distance;Sukumal et al 2015 Global Ecology and Conservation 3: 11-19;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Dak Lak Province ;12.4;108.3;Vietnam;1998;;status, distribution and macro-habitat use;point count;;;Brickle 2002 Biological Conservation 105: 189-197;
Green peafowl;Pavo muticus;Pavo_muticus_286_BL;Huai Kha Khaeng Wildlife Sanctuary;15.2505;99.1357;Thailand;;;feeding ecology;droppings analysis;50 droppings;descriptive;Pinthong & Meckvichai Draft;
